"id","severity","domain","component","title","file","github","location","suggested_title"
"F-TEST-001","Medium","TESTING","cicd-pipeline","No automated test execution stage in CI pipeline","yes","pending",".github/workflows/ci-restitution.yml:53-97","[RA F-TEST-001] No automated test execution stage in CI pipeline"
"F-TEST-002","Medium","TESTING","cicd-pipeline","All security-scanning quality gates configured as non-blocking","yes","pending",".github/workflows/ci-restitution.yml:98-121","[RA F-TEST-002] All security-scanning quality gates configured as non-blocking"
"F-TEST-005","Medium","TESTING","angular-spa","Angular unit tests contain only boilerplate stubs with no meaningful assertions","yes","pending","restitution-app/ClientApp/src/app/not-found/not-found.component.spec.ts:16-20","[RA F-TEST-005] Angular unit tests contain only boilerplate stubs with no meaningful as..."
"F-TEST-006","Medium","TESTING","e2e-tests","Playwright E2E tests exist but are not integrated into the CI pipeline","yes","pending","restitution-app/ClientApp/playwright.config.ts:1-31","[RA F-TEST-006] Playwright E2E tests exist but are not integrated into the CI pipeline"
"LOG-001","Medium","SECURITY_LOGGING","aspnet-api","Developer Exception Page exposes full stack traces in non-production environments","yes","pending","restitution-app/Program.cs:131-138","[RA LOG-001] Developer Exception Page exposes full stack traces in non-production envir..."
"LOG-002","Medium","SECURITY_LOGGING","aspnet-api","No application-level audit logging for successful restitution form submissions","yes","pending","restitution-app/Controllers/RestitutionsController.cs:79-80","[RA LOG-002] No application-level audit logging for successful restitution form submiss..."
"SEC-SECRETS-001","Medium","SECRETS","aspnet-api","Internal BC Government infrastructure URLs hardcoded in developer documentation","yes","pending","restitution-app/README.md:35-49","[RA SEC-SECRETS-001] Internal BC Government infrastructure URLs hardcoded in developer ..."
"SEC-SECRETS-002","Medium","SECRETS","cicd-pipeline","Development environment hostname hardcoded in OWASP ZAP security scan workflow","yes","pending",".github/workflows/zap-coast-restitution-dev-scan.yml:15","[RA SEC-SECRETS-002] Development environment hostname hardcoded in OWASP ZAP security s..."
"VULN-001","Medium","CODE_VULNERABILITY","angular-spa","DOM-based XSS via [innerHTML] binding with unencoded user-controlled address fields","yes","pending","restitution-app/ClientApp/src/app/shared/restitution/review/restitution-review.component.html:228","[RA VULN-001] DOM-based XSS via [innerHTML] binding with unencoded user-controlled addr..."
"VULN-002","Medium","CODE_VULNERABILITY","aspnet-api","Client-side-only file type validation — no server-side MIME or extension enforcement on document upload","yes","pending","restitution-app/ClientApp/src/app/shared/file-uploader/file-uploader.component.ts:52-56","[RA VULN-002] Client-side-only file type validation — no server-side MIME or extension ..."
"AUTH-002","Low","AUTHENTICATION","aspnet-api","Global Cookie Policy Sets MinimumSameSitePolicy to SameSiteMode.None","yes","pending","restitution-app/Program.cs:277-284","[RA AUTH-002] Global Cookie Policy Sets MinimumSameSitePolicy to SameSiteMode.None"
"AUTH-003","Low","AUTHENTICATION","health-checks","Health Check Endpoint /hc Accessible Without Authentication","yes","pending","restitution-app/Program.cs:171-209","[RA AUTH-003] Health Check Endpoint /hc Accessible Without Authentication"
"AUTHZ-001","Low","AUTHORIZATION","health-checks","Health Check Endpoint Publicly Accessible Without Authorization — Discloses Backend Technology and Connectivity Status","yes","pending","restitution-app/Program.cs:171-209","[RA AUTHZ-001] Health Check Endpoint Publicly Accessible Without Authorization — Disclo..."
"AUTHZ-002","Low","AUTHORIZATION","aspnet-api","UseAuthorization() Middleware Absent from Pipeline — [Authorize] Attributes Would Be Silently Bypassed","yes","pending","restitution-app/Program.cs:286-290","[RA AUTHZ-002] UseAuthorization() Middleware Absent from Pipeline — [Authorize] Attribu..."
"CONFIG-004","Low","CONFIGURATION","aspnet-api","Missing Permissions-Policy header","yes","pending","restitution-app/ClientApp/Caddyfile:9-22","[RA CONFIG-004] Missing Permissions-Policy header"
"CONFIG-005","Low","CONFIGURATION","aspnet-api","AllowedHosts set to wildcard — host header filtering disabled","yes","pending","restitution-app/appsettings.json:7","[RA CONFIG-005] AllowedHosts set to wildcard — host header filtering disabled"
"CRYPTO-002","Low","CRYPTOGRAPHY","aspnet-api","TLS Certificate Validation Disabled for Splunk HTTP Sink in Development Mode","yes","pending","restitution-app/Program.cs:329-338","[RA CRYPTO-002] TLS Certificate Validation Disabled for Splunk HTTP Sink in Development..."
"DEP-004","Low","DEPENDENCIES","e2e-tests","ts-node pinned to 7.0.1 (2018), three major versions behind (dev-only tooling)","yes","pending","restitution-app/ClientApp/package-lock.json:14759-14775","[RA DEP-004] ts-node pinned to 7.0.1 (2018), three major versions behind (dev-only tool..."
"DEP-005","Low","DEPENDENCIES","angular-spa","moment.js 2.30.1 in maintenance mode; no known CVEs at assessment time","yes","pending","restitution-app/ClientApp/package.json:41-42","[RA DEP-005] moment.js 2.30.1 in maintenance mode; no known CVEs at assessment time"
"LOG-003","Low","SECURITY_LOGGING","aspnet-api","Full Dynamics OrganizationResponse object logged via Serilog destructuring on error path","yes","pending","restitution-app/Controllers/RestitutionsController.cs:72-75","[RA LOG-003] Full Dynamics OrganizationResponse object logged via Serilog destructuring..."
"LOG-004","Low","SECURITY_LOGGING","angular-spa","Incomplete console output suppression in production — console.error and console.debug remain active","yes","pending","restitution-app/ClientApp/src/main.ts:10-15","[RA LOG-004] Incomplete console output suppression in production — console.error and co..."
"SEC-SECRETS-003","Low","SECRETS","cicd-pipeline","Trivy secret scanner configured with non-enforcing exit code across all CI/CD pipeline stages","yes","pending",".github/workflows/ci-restitution.yml:140-180","[RA SEC-SECRETS-003] Trivy secret scanner configured with non-enforcing exit code acros..."
"VULN-003","Low","CODE_VULNERABILITY","aspnet-api","Developer exception page enabled for all non-production environments — stack traces exposed to HTTP clients","yes","pending","restitution-app/Program.cs:131-138","[RA VULN-003] Developer exception page enabled for all non-production environments — st..."
"VULN-004","Low","CODE_VULNERABILITY","aspnet-api","No input length or format constraints on submission API DTO string fields","yes","pending","restitution-app/Models/RestitutionApplicationDtoBase.cs:1-70","[RA VULN-004] No input length or format constraints on submission API DTO string fields"
"AUTHZ-003","Informational","AUTHORIZATION","aspnet-api","[AllowAnonymous] Attribute Applied Without Authorization Framework — Creates False Security Boundary Impression","optional","pending","restitution-app/Controllers/ConfigurationController.cs:23-25","[RA AUTHZ-003] [AllowAnonymous] Attribute Applied Without Authorization Framework — Cre..."
"CRYPTO-003","Informational","CRYPTOGRAPHY","dataverse-client","OAuth Access Tokens Cached as Plaintext in In-Process Memory","optional","pending","Database/Caching/MemoryCache.cs:16-27","[RA CRYPTO-003] OAuth Access Tokens Cached as Plaintext in In-Process Memory"
"LOG-005","Informational","SECURITY_LOGGING","dataverse-client","Token endpoint URLs including Entra ID tenant ID logged at Debug level","optional","pending","Database/Extensions/EntraIdTokenProvider.cs:37","[RA LOG-005] Token endpoint URLs including Entra ID tenant ID logged at Debug level"
